Tiempo: 0.607423 s | Fichero: datos_1X.txt | MAPE Global: 6.4601 % | Procesos: 1 | Hilos: 1
Tiempo: 0.543952 s | Fichero: datos_1X.txt | MAPE Global: 6.4601 % | Procesos: 1 | Hilos: 2
Tiempo: 0.479659 s | Fichero: datos_1X.txt | MAPE Global: 6.4601 % | Procesos: 1 | Hilos: 3
Tiempo: 0.453769 s | Fichero: datos_1X.txt | MAPE Global: 6.4601 % | Procesos: 1 | Hilos: 4
Tiempo: 0.498511 s | Fichero: datos_1X.txt | MAPE Global: 6.4601 % | Procesos: 2 | Hilos: 1
Tiempo: 0.455012 s | Fichero: datos_1X.txt | MAPE Global: 6.4601 % | Procesos: 2 | Hilos: 2
Tiempo: 0.439026 s | Fichero: datos_1X.txt | MAPE Global: 6.4601 % | Procesos: 2 | Hilos: 3
Tiempo: 0.432322 s | Fichero: datos_1X.txt | MAPE Global: 6.4601 % | Procesos: 2 | Hilos: 4
Tiempo: 0.439320 s | Fichero: datos_1X.txt | MAPE Global: 6.4601 % | Procesos: 3 | Hilos: 1
Tiempo: 0.429021 s | Fichero: datos_1X.txt | MAPE Global: 6.4601 % | Procesos: 3 | Hilos: 2
Tiempo: 0.418588 s | Fichero: datos_1X.txt | MAPE Global: 6.4601 % | Procesos: 3 | Hilos: 3
Tiempo: 0.421866 s | Fichero: datos_1X.txt | MAPE Global: 6.4601 % | Procesos: 3 | Hilos: 4
Tiempo: 0.416977 s | Fichero: datos_1X.txt | MAPE Global: 6.4601 % | Procesos: 4 | Hilos: 1
Tiempo: 0.414681 s | Fichero: datos_1X.txt | MAPE Global: 6.4601 % | Procesos: 4 | Hilos: 2
Tiempo: 0.406467 s | Fichero: datos_1X.txt | MAPE Global: 6.4601 % | Procesos: 4 | Hilos: 3
Tiempo: 0.405733 s | Fichero: datos_1X.txt | MAPE Global: 6.4601 % | Procesos: 4 | Hilos: 4
Tiempo: 7.262730 s | Fichero: datos_10X.txt | MAPE Global: 6.7335 % | Procesos: 1 | Hilos: 1
Tiempo: 5.974328 s | Fichero: datos_10X.txt | MAPE Global: 6.7335 % | Procesos: 1 | Hilos: 2
Tiempo: 5.371639 s | Fichero: datos_10X.txt | MAPE Global: 6.7335 % | Procesos: 1 | Hilos: 3
Tiempo: 5.067564 s | Fichero: datos_10X.txt | MAPE Global: 6.7335 % | Procesos: 1 | Hilos: 4
Tiempo: 5.640564 s | Fichero: datos_10X.txt | MAPE Global: 6.7335 % | Procesos: 2 | Hilos: 1
Tiempo: 4.848372 s | Fichero: datos_10X.txt | MAPE Global: 6.7335 % | Procesos: 2 | Hilos: 2
Tiempo: 4.630551 s | Fichero: datos_10X.txt | MAPE Global: 6.7335 % | Procesos: 2 | Hilos: 3
Tiempo: 4.545638 s | Fichero: datos_10X.txt | MAPE Global: 6.7335 % | Procesos: 2 | Hilos: 4
Tiempo: 5.218164 s | Fichero: datos_10X.txt | MAPE Global: 6.7335 % | Procesos: 3 | Hilos: 1
Tiempo: 4.660899 s | Fichero: datos_10X.txt | MAPE Global: 6.7335 % | Procesos: 3 | Hilos: 2
Tiempo: 4.531749 s | Fichero: datos_10X.txt | MAPE Global: 6.7335 % | Procesos: 3 | Hilos: 3
Tiempo: 4.493352 s | Fichero: datos_10X.txt | MAPE Global: 6.7335 % | Procesos: 3 | Hilos: 4
Tiempo: 5.228533 s | Fichero: datos_10X.txt | MAPE Global: 6.7335 % | Procesos: 4 | Hilos: 1
Tiempo: 4.776777 s | Fichero: datos_10X.txt | MAPE Global: 6.7335 % | Procesos: 4 | Hilos: 2
Tiempo: 4.645770 s | Fichero: datos_10X.txt | MAPE Global: 6.7335 % | Procesos: 4 | Hilos: 3
Tiempo: 4.762706 s | Fichero: datos_10X.txt | MAPE Global: 6.7335 % | Procesos: 4 | Hilos: 4
Tiempo: 50.548496 s | Fichero: datos_100X.txt | MAPE Global: 6.7335 % | Procesos: 1 | Hilos: 1
Tiempo: 39.171310 s | Fichero: datos_100X.txt | MAPE Global: 6.7335 % | Procesos: 1 | Hilos: 2
Tiempo: 35.452715 s | Fichero: datos_100X.txt | MAPE Global: 6.7335 % | Procesos: 1 | Hilos: 3
Tiempo: 32.763364 s | Fichero: datos_100X.txt | MAPE Global: 6.7335 % | Procesos: 1 | Hilos: 4
Tiempo: 40.896967 s | Fichero: datos_100X.txt | MAPE Global: 6.7335 % | Procesos: 2 | Hilos: 1
Tiempo: 34.587905 s | Fichero: datos_100X.txt | MAPE Global: 6.7335 % | Procesos: 2 | Hilos: 2
Tiempo: 32.156506 s | Fichero: datos_100X.txt | MAPE Global: 6.7335 % | Procesos: 2 | Hilos: 3
Tiempo: 33.124660 s | Fichero: datos_100X.txt | MAPE Global: 6.7335 % | Procesos: 2 | Hilos: 4
Tiempo: 38.038158 s | Fichero: datos_100X.txt | MAPE Global: 6.7335 % | Procesos: 3 | Hilos: 1
Tiempo: 33.547877 s | Fichero: datos_100X.txt | MAPE Global: 6.7335 % | Procesos: 3 | Hilos: 2
Tiempo: 34.048188 s | Fichero: datos_100X.txt | MAPE Global: 6.7335 % | Procesos: 3 | Hilos: 3
Tiempo: 32.788719 s | Fichero: datos_100X.txt | MAPE Global: 6.7335 % | Procesos: 3 | Hilos: 4
Tiempo: 40.762931 s | Fichero: datos_100X.txt | MAPE Global: 6.7335 % | Procesos: 4 | Hilos: 1
Tiempo: 39.838964 s | Fichero: datos_100X.txt | MAPE Global: 6.7335 % | Procesos: 4 | Hilos: 2
Tiempo: 38.926671 s | Fichero: datos_100X.txt | MAPE Global: 6.7335 % | Procesos: 4 | Hilos: 3
Tiempo: 36.855039 s | Fichero: datos_100X.txt | MAPE Global: 6.7335 % | Procesos: 4 | Hilos: 4
